ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นกงเต๊ก | การงาน: ฝันเห็นพิธีกงเต๊กในงานศพ หรือได้เห็นเครื่องกงเต๊ก  ทำนายว่า จะหมดเคราะห์หมดทุกข์ ถ้าป่วยก็จะหายเร็ววัน ถ้าปกติก็จะได้ลาภหรือยศ แต่จะมีอันต้องเสียญาติผู้ใหญ่ทางบิดา | ความรัก: ไม่ชัดเจน | เลขเด็ด: 09 , 04 , 06 , 409 , 406 , 009
ฝันเห็นกฐิน | การงาน: ฝันเห็นองค์กฐินหรือองค์ผ้าป่าในงาน ทำนายว่า จะได้ลาภลอย หรือโชคลาภทางการเสี่ยงโชค จะมีโชคฟลุ๊ก ๆทางการค้าขาย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 14 , 17 , 417 , 411 , 719 , 718
ฝันเห็นกบ | การงาน: ฝันเห็นกบ ได้ยินเสียงกบ ได้จับกบ หรือเห็นฝูงกบจำนานมากๆ ทำนายได้ว่า ถือว่าเป็นฝันที่ดี ให้โชคกับตัวผู้ฝัน ในช่วงนี้อาจจะมีโชคลาภในด้านการค้าขาย เป็นช่วงที่ขายสินค้าแล้วจะมีกำไรงาม ขายดิบขายดีเป็นอย่างมาก ในบางคนอาจจะมีโชคลาภในเรื่องของการเสี่ยงโชคต่างๆแบบไม่คาดคิด รวมไปถึงอาจจะมีโอกาสได้เลื่อนขั้นเลื่อนตำแหน่ง มีชื่อเสียงเป็นที่รู้จักในเรื่องการงานของตนเอง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 19 , 911 , 411 , 714 , 091
ฝันเห็นกรง | การงาน: ฝันเห็นกรงสำหรับใส่สัตว์ ทำนายว่า จะได้รับข่าวดีในเรื่องการงานและธุรกิจ จะมีคนยื่นมือเข้ามาช่วยเหลือเกื้อกูลในเรื่องการงานหรือธุรกิจ หากติดขัดอะไรอยู่ก็จะได้รับความช่วยเหลือทำให้ปัญหาที่มีอยู่เบาบางลงไป | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกรรไกร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกรวดทราย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกระจก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 97 , 47 , 07 , 974 , 667
ฝันเห็นกระจาด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกระดิ่ง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 00 , 24 , 220 , 224 , 442 , 441
ฝันเห็นกระดุม | การงาน: ฝันเห็นลูกกระดุม หรือเครื่องเย็บสอย  ทำนายว่า ถ้าเป็นสตรีสาวโสดจะได้พบเนื้อคู่ บุรุษจะได้ลาภในหน้าที่การงานหรือถ้ามีครอบครัวแล้วจะได้บุตรหญิงน่ารัก | ความรัก: ฝันเห็นลูกกระดุม หรือเครื่องเย็บสอย  ทำนายว่า ถ้าเป็นสตรีสาวโสดจะได้พบเนื้อคู่ บุรุษจะได้ลาภในหน้าที่การงานหรือถ้ามีครอบครัวแล้วจะได้บุตรหญิงน่ารัก | เลขเด็ด: 01 , 08 , 001 , 108 , 803 , 088
ฝันเห็นกระต่าย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 14 , 34 , 344 , 034 , 334 , 639
ฝันเห็นกระทง | การงาน: ฝันว่าได้ไปลอยกระทง หรือเป็นกระทงลอยน้ำมามี ธูปเทียนประดับ  ทำนายว่า ถ้าเป็นหญิงโสดจะได้พบชายเนื้อคู่ ถ้าเป็นชายจะได้ย้ายตำแหน่งหน้าที่ใหม่ดีขึ้น | ความรัก: ฝันว่าได้ไปลอยกระทง หรือเป็นกระทงลอยน้ำมามี ธูปเทียนประดับ  ทำนายว่า ถ้าเป็นหญิงโสดจะได้พบชายเนื้อคู่ ถ้าเป็นชายจะได้ย้ายตำแหน่งหน้าที่ใหม่ดีขึ้น | เลขเด็ด: 42 , 44 , 244 , 224 , 264
ฝันเห็นกระทง | การงาน: ฝันว่าได้ไปลอยกระทง หรือเป็นกระทงลอยน้ำมามี ธูปเทียนประดับ  ทำนายว่า ถ้าเป็นหญิงโสดจะได้พบชายเนื้อคู่ ถ้าเป็นชายจะได้ย้ายตำแหน่งหน้าที่ใหม่ดีขึ้น | ความรัก: ฝันว่าได้ไปลอยกระทง หรือเป็นกระทงลอยน้ำมามี ธูปเทียนประดับ  ทำนายว่า ถ้าเป็นหญิงโสดจะได้พบชายเนื้อคู่ ถ้าเป็นชายจะได้ย้ายตำแหน่งหน้าที่ใหม่ดีขึ้น | เลขเด็ด: 42 , 44 , 244 , 224 , 264
ฝันเห็นกระท่อม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 69 , 79 , 769 , 669 , 664
ฝันเห็นกระบอก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกระเป๋า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 48 , 49 , 749 , 494 , 884 , 889
ฝันเห็นกระโปรง | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นเครื่องแต่งตัว เสื้อผ้าอาภรณ์หรือเครื่องประดับต่างๆ หรือฝันว่า ได้แต่งเสื้อผ้าอาภรณ์ใหม่ ถ้าเป็นหญิงมีครรภ์  ทำนายว่า จะได้บุตรหญิงน่ารักใคร่ ถ้าเป็นชายโสดจะได้คู่ หญิงโสดจะได้คู่ที่เป็นชายมีชื่อเสียงฐานะดี | เลขเด็ด: 78 , 67 , 68 , 778 , 667 , 668 , 557
ฝันเห็นกราม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกริช | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 10 , 11 , 14 , 110 , 114 , 410
ฝันเห็นกล้วย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 70 , 71 , 761 , 770 , 708
ฝันเห็นกลอง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 46 , 47 , 144 , 146 , 147
ฝันเห็นกล้องถ่ายรูป | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 46 , 47 , 144 , 146 , 147
ฝันเห็นกลางคืน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 06 , 09 , 106 , 109 , 116
ฝันเห็นกวาง | การงาน: ฝันเห็นกวาง หรือเขากวางสวยงาม ได้จับต้องลูบคลำ  ทำนายว่า จะได้เลื่อนยศ หรือตำแหน่งหน้าที่การงาน แต่มักมีอันให้ต้องเปลี่ยนแปลง หรือโยกย้ายที่อยู่ไปด้วยกับลาภ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 21 , 22 , 23 , 712 , 722 , 713
ฝันเห็นกษัตริย์ | การงาน: ถ้าฝันเห็นองค์พระเจ้าแผ่นดิน หรือพระราชินีท่านจะได้เลื่อนตำแหน่งยศทางราชการ หรือในตำแหน่งหน้าที่การงานทั่วไป หรืออาจมีโชคลาภในการเสียงโชค ลาภลอย ได้รับข่าวดีจากญาติผู้ใหญ่ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 89 , 19 , 59 , 298 , 198 , 589
ฝันเห็นกอดรัด | การงาน: ฝันว่าได้กอดรัดคนที่ตายไปแล้ว ทำนายว่า จะได้รับเคราะห์อย่างหนัก จะมีความกังวลใจในเรื่องการงานที่ต้องรับผิดชอบอยู่ ดังนั้นควรใช้สติและรอบคอบให้มากในช่วงนี้ | ความรัก: หากฝันว่าได้กอดรัดกับเพศตรงข้าม ทำนายว่า มีโอกาสที่จะถูกคนปองร้าย หรือมีคนแบบนินทาว่าร้ายให้เสียหาย ดังนั้นต้องระวังตัวในการวางตัวมากเป็นพิเศษ | เลขเด็ด: ไม่ระบุ
ฝันเห็นกังหัน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 42 , 244 , 446 , 447
ฝันเห็นกัลปพฤกษ์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 29 , 39 , 199 , 291 , 239
ฝันเห็นกา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกางเขน | การงาน: ฝันเห็นไม้กางเขนเครื่องหมายคริสต์ศาสนาหรือไม้กางเขนที่ปักบนหลุมฝังศพ  ทำนายว่า จะได้ลาภหรือได้เลื่อนตำแหน่งหน้าที่ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 40 , 44 , 14 , 414 , 440 , 114
ฝันเห็นก้างปลา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 17 , 27 , 37 , 171 , 273 , 272
ฝันเห็นกางร่ม | การงาน: ฝันเห็นร่ม กลดกางกั้นหรือบังแสงอาทิตย์ที่กำลังแผดกล้า  ทำนายว่า จะได้เลื่อนตำแหน่งหน้าที่ในราชการหรือการงานและมีลาภถ้าเป็นหญิงต้องครรภ์ จะได้บุตรชายที่ดี ถ้าในฝันเห็นร่มกางกันแดด ก็จะได้รับการช่วยเหลือในเรื่องการเงิน หรือการช่วยเหลือจากผู้ใหญ่ (ดูคำว่าร่มในอักษร ร.) | ความรัก: ไม่ชัดเจน | เลขเด็ด: 10 , 16 , 161 , 168 , 619 , 198
ฝันเห็นกาน้ำ | การงาน: ฝันเห็นกาน้ำ ทำนายว่า จะมีคนเชิญไปงานเลี้ยง หรืองานสังสรรค์ต่างๆ จะมีโชคลาภในเรื่องของอาหารการกิน มีลาภปาก | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกำแพง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 46 , 48 , 246 , 446 , 448
ฝันเห็นกิ้งก่า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 14 , 17 , 47 , 447 , 117 , 147
ฝันเห็นกิ้งกือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นกิน | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าอุ้มเด็ก ทำนายว่า คนโสดจะได้คู่ คนมีคู่จะได้ลูก | เลขเด็ด: 79 , 77 , 179 , 799 , 789
ฝันเห็นกินนร | การงาน: ฝันเห็นนางกินนร (คนครึ่งนก) หรือกินรี จะเป็นรูปปั้นหรือมีชีวิตจิตใจก็ตามแต่  ทำนายว่า ถ้าเป็นหญิงจะต้องมีการโยกย้ายที่อยู่หรือที่ทำงานถ้าเป็นชายจะได้เลื่อนตำแหน่งสูงขึ้น หรือถ้าเป็นชายโสดก็จะได้พบเนื้อคู่ที่มีสกุลหลักฐาน | ความรัก: ฝันเห็นนางกินนร (คนครึ่งนก) หรือกินรี จะเป็นรูปปั้นหรือมีชีวิตจิตใจก็ตามแต่  ทำนายว่า ถ้าเป็นหญิงจะต้องมีการโยกย้ายที่อยู่หรือที่ทำงานถ้าเป็นชายจะได้เลื่อนตำแหน่งสูงขึ้น หรือถ้าเป็นชายโสดก็จะได้พบเนื้อคู่ที่มีสกุลหลักฐาน | เลขเด็ด: 79 , 89 , 179 , 289 , 687
ฝันเห็นกุ้งปลา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 89 , 79 , 78 , 788 , 889 , 709
ฝันเห็นเกลือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 57 , 67 , 87 , 577 , 267
ฝันเห็นเกวียน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 40 , 14 , 44 , 447 , 147 , 717
ฝันเห็นเกาทัณฑ์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 33 , 30 , 32 , 633 , 306 , 532
ฝันเห็นเกาะ | การงาน: ฝันเห็นคลื่นน้ำ ทำนายว่า การงานจะเกิดอุปสรรค | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเกี่ยวข้าว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแก้ผ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 10 , 594 , 504 , 533 , 423
